date,bltyy:weilai5
2014/4/4,0.010378338
2014/4/3,0.006469761
2014/4/2,0.014968932
2014/4/1,0.027411652
2014/3/31,0.007030879
2014/3/28,-0.009749304
2014/3/27,-0.016208206
2014/3/26,-0.027764881
2014/3/25,-0.01635514
2014/3/24,0.007200973
2014/3/21,0.012946806
2014/3/20,0.004570896
2014/3/19,0.007248423
2014/3/18,0.010298564
2014/3/17,-0.000562588
2014/3/14,0.007518797
2014/3/13,-0.021282477
2014/3/12,-0.014892033
2014/3/11,-0.015053565
2014/3/10,-0.018450185
2014/3/7,0.006491098
2014/3/6,-0.012045977
2014/3/5,-0.001107011
2014/3/4,0.006032483
2014/3/3,-0.012001832
2014/2/28,-0.02247191
2014/2/27,-0.006871278
2014/2/26,-0.009377586
2014/2/25,-0.003287371
2014/2/24,0.015147367
2014/2/21,-0.014090868
2014/2/20,-0.009741442
2014/2/19,-0.008869581
2014/2/18,-0.007516754
2014/2/17,0.000723131
2014/2/14,0.025104993
2014/2/13,0.013019162
2014/2/12,0.015823367
2014/2/11,0.018317378
2014/2/10,-0.014350106
2014/2/7,0.005995204
2014/2/6,-0.008483079
2014/2/5,0.012299665
2014/2/4,0.023538273
2014/2/3,0.022830189
2014/1/31,0.034635712
2014/1/30,0.008646617
2014/1/29,-0.013834726
2014/1/28,-0.016241299
2014/1/27,-0.013499674
2014/1/24,-0.005049561
2014/1/23,-0.001761053
2014/1/22,0.001580219
2014/1/21,-0.006199112
2014/1/20,0.001310861
2014/1/17,0.014671306
2014/1/16,0.011851016
2014/1/15,0.009527368
2014/1/14,-0.001869159
2014/1/13,0.001035587
2014/1/10,-0.000470057
2014/1/9,-0.004000372
2014/1/8,0.005166745
2014/1/7,-0.010157488
2014/1/6,-0.010051187
2014/1/3,0.004579439
2014/1/2,-0.005419041
2013/12/31,-0.004730106
2013/12/30,-0.031109107
2013/12/27,-0.037769784
2013/12/26,-0.045312639
2013/12/24,-0.037321429
2013/12/23,-0.009821429
2013/12/20,-0.003316304
2013/12/19,0.002414163
2013/12/18,0.017626749
2013/12/17,0.02489019
2013/12/16,0.031050735
2013/12/13,0.01249321
2013/12/12,0.011302031
2013/12/11,0.005520795
2013/12/10,-0.012051493
2013/12/9,0.008767123
2013/12/6,-0.003479535
2013/12/5,-0.027472036
2013/12/4,-0.013598703
2013/12/3,-0.019256605
2013/12/2,-0.032512403
2013/11/29,0.002961766
2013/11/28,0.008446099
2013/11/27,0.006309148
2013/11/26,0.011560176
2013/11/25,0.00342219
2013/11/22,-0.008464656
2013/11/21,0.004163273
2013/11/20,0.013073082
2013/11/19,0.027577272
2013/11/18,0.038627011
2013/11/15,0.018622661
2013/11/14,0.015207373
2013/11/13,-0.004422333
2013/11/12,-0.001867065
2013/11/11,0.025139401
2013/11/8,0.019736842
2013/11/7,0.032534247
2013/11/5,0.035375991
2013/11/4,0.004557106
2013/11/1,0.001600301
2013/10/31,-0.007459163
2013/10/30,-0.049430356
2013/10/29,-0.041234298
2013/10/28,-0.025502248
2013/10/25,-0.033756044
2013/10/24,0.017862153
2013/10/23,0.026824937
2013/10/22,0.01122449
2013/10/21,-0.00327362
2013/10/18,-0.024717256
2013/10/17,-0.026832818
2013/10/16,-0.012006232
2013/10/15,-0.005606294
2013/10/14,0.002010601
2013/10/11,-0.002721335
2013/10/10,-0.011863793
2013/10/9,-0.003064996
2013/10/8,0.010621594
2013/10/7,0.007586144
2013/10/4,0.0067469
2013/10/3,0.013429563
2013/10/2,-0.006697248
2013/10/1,0.002014837
2013/9/30,0.016120067
2013/9/27,0.010058134
2013/9/26,0.003406057
2013/9/25,-0.000183133
2013/9/24,-0.003508124
2013/9/23,-0.002485272
2013/9/20,0.004345414
2013/9/19,-9.16E-05
2013/9/18,-0.004045605
2013/9/17,-0.017721519
2013/9/16,-0.00027729
2013/9/13,-0.007722358
2013/9/12,-0.026320501
2013/9/11,-0.008338564
2013/9/10,-0.018150467
2013/9/9,0.000454463
2013/9/6,-0.005608475
2013/9/5,-0.039528074
2013/9/4,-0.043987507
2013/9/3,-0.042555043
2013/9/2,-0.028959198
2013/8/30,0.015656433
2013/8/29,0.010963951
2013/8/28,-0.002170893
2013/8/27,-0.007975302
2013/8/26,-0.000262329
2013/8/23,0.029621602
2013/8/22,0.037103746
2013/8/21,0.061055505
2013/8/20,0.041435206
2013/8/19,0.005265547
2013/8/16,0.010373066
2013/8/15,-0.004528986
2013/8/14,0.001916058
2013/8/13,0.012222018
2013/8/12,0.013089971
2013/8/9,0.024689066
2013/8/8,0.012751802
2013/8/7,0.020059993
2013/8/6,0.009679821
2013/8/5,-0.004067295
2013/8/2,-0.004415823
2013/8/1,-0.020835246
2013/7/31,-0.019171079
2013/7/30,0.004456825
2013/7/29,0.016743055
2013/7/26,0.013959981
2013/7/25,0.022114398
2013/7/24,0.000464468
2013/7/23,-0.002612184
2013/7/22,-0.008946689
2013/7/19,-0.009061489
2013/7/18,-0.00388637
2013/7/17,-0.013891444
2013/7/16,-0.001749379
2013/7/15,9.25E-05
2013/7/12,-9.25E-05
2013/7/11,0.007134254
2013/7/10,0.014667414
2013/7/9,-0.003409824
2013/7/8,0.002504406
2013/7/5,0.004654193
2013/7/4,-0.006312662
2013/7/3,0.028140989
2013/7/2,0.01938351
2013/7/1,0.032980769
2013/6/28,0.045825243
2013/6/27,0.033085356
2013/6/26,0.028593659
2013/6/25,0.023017903
2013/6/24,0.017183488
2013/6/21,0.00988533
2013/6/20,0.018927757
2013/6/19,-0.004796867
2013/6/18,-0.045797211
2013/6/17,-0.045840407
2013/6/14,-0.043235043
2013/6/13,-0.035683942
2013/6/12,0.011148166
2013/6/11,0.023754345
2013/6/10,0.024278916
2013/6/7,0.0194399
2013/6/6,0.003729916
2013/6/5,-0.000482579
2013/6/4,-0.000679348
2013/6/3,0.006489733
2013/5/31,0.024495395
2013/5/30,0.032074908
2013/5/29,0.008317839
2013/5/28,0.00790784
2013/5/27,-0.020819342
2013/5/24,-0.021730657
2013/5/23,-0.004384256
2013/5/22,-9.76E-05
